theme,question,answer,speaker,proof,show
Besoin client,Pourquoi Daylight a besoin d'un SOC externalise ?,"Daylight manipule des donnees patients sur plusieurs centres. Cyber Trust apporte une surveillance centralisee, des alertes qualifiees, des dashboards et des procedures sans imposer a Daylight de creer tout de suite un SOC interne.",Kilyan FELIX,14_SYNTHESE_EXECUTIVE_CLIENT.md,Synthese executive client
Architecture,Pourquoi pfSense dans votre solution ?,"pfSense apporte une brique concrete de segmentation : VLAN, NAT, refus par defaut, journalisation des flux et envoi syslog vers Wazuh. La revue firewall montre exactement les regles et les tests attendus.",Yvan FOCSA,Dashboards_Offline/daylight_pfsense_firewall_review.html,Revue firewall pfSense
Architecture,Votre lab est-il une architecture de production ?,"Non. Le lab prouve la faisabilite. En production, nous separons manager, indexer, dashboard, stockage, sauvegarde, haute disponibilite, supervision et gestion des secrets.",Yvan FOCSA,01_RAPPORT_TECHNIQUE_GROUPE.md,Rapport technique groupe
SIEM,Pourquoi Wazuh ?,"Wazuh est open-source, compatible agents et syslog, et assez complet pour couvrir endpoint, serveur, application, firewall, RBAC et dashboards dans un demonstrateur realiste sans cout de licence SIEM.",Youssef GUERNIOU,Youssef GUERNIOU/Documentation_SIEM_Youssef_GUERNIOU.pdf,Documentation SIEM Youssef
Detection,Quelles alertes sont vraiment demontrees ?,"Nous montrons les alertes SSH 5710/5503 et la correlation brute force 5551/5763 en live, la preuve historique 5712 du dossier SIEM, 100120 pour acces anormal a un dossier patient, 110020 pour mouvement lateral firewall, et les regles Daylight autour de l'application, des privileges, du phishing et des endpoints.",Kilyan FELIX,21_DASHBOARDS_ALERTES_QUALIFICATION.md,Matrice qualification alertes
Dashboards,Pourquoi deux dashboards ?,Le dashboard technique aide l'analyste a investiguer. Le dashboard executif aide Daylight a piloter le service. Les deux vues servent des publics differents.,Kilyan FELIX,Dashboards_Offline/daylight_soc_dashboard.html,Dashboard SOC offline
Exploitation,Que faire si Docker ou Wazuh ne demarre pas pendant la soutenance ?,"On ne simule pas une preuve live. On montre le preflight, le rapport d'echec, la commande de relance, les captures deja extraites du dossier SIEM, le dashboard offline et la procedure CAP-25.",Mahamadou DIACOUMBA,Rapports_Preflight/preflight-demo-report.txt,Rapport preflight / repair CAP-25
Playbooks,Comment passez-vous d'une alerte a une action ?,"Chaque alerte a une qualification, un SLA, des verifications, une action immediate, une escalade et un REX. Les playbooks evitent que l'analyste improvise.",Mahamadou DIACOUMBA,03_PLAYBOOKS_PROCEDURES_REX.md,Playbooks et REX
RGPD,Comment limitez-vous les risques RGPD ?,"Nous appliquons minimisation, RBAC, retention limitee, journalisation des consultations et dashboards qui evitent d'exposer des donnees patients completes au public executif.",Yvan FOCSA,12_RISQUES_RGPD_CONFORMITE.md,Risques RGPD et conformite
Video,Comment prouver que toute l'equipe a participe ?,"Le shotlist, le pack d'enregistrement, les overlays nom/role et les rapports individuels associent chaque sequence a un intervenant et a une preuve ouverte a l'ecran.",Equipe Cyber Trust,Dashboards_Offline/daylight_video_recording_pack.html,Pack enregistrement video
